country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
Germany,Sugar Cane,Fall,73.79,2021.3220825450987,85.1,84.52
China,Cotton,Fall,65.46,2020.715550237309,90.01,36.44
United States,Cotton,Winter,34.52,2020.2313255348547,77.91,28.76
Germany,Sugar Cane,Fall,66.38,2020.466212980436,68.95,16.21
United States,Plam Oil,Rainy Season,33.92,2021.3753918833568,42.37,42.48
France,Sugar Cane,Rainy Season,22.09,2021.3874147374738,43.52,82.34
Australia,Apples,Winter,21.67,2021.6149175708892,35.13,19.92
United States,Cotton,Summer,66.7,2020.9694690227661,26.74,65.08
China,Plam Oil,Winter,36.35,2020.5581480629207,38.21,62.74
Africa,Plam Oil,Spring,31.99,2021.3213546139011,68.87,14.89
Australia,Cotton,Fall,18.08,2020.0590283292102,88.57,36.76
United States,Apples,Rainy Season,77.82,2020.012262516708,78.76,16.86
Africa,Apples,Summer,34.04,2020.7074476913263,13.02,57.55
Africa,Plam Oil,Rainy Season,71.57,2021.9237154234056,54.76,74.27
Africa,Wheat,Summer,43.6,2021.2276121722782,33.08,21.49
United States,Cotton,Rainy Season,10.68,2020.1459295592338,55.47,46.66
France,Paddy,Winter,34.52,2020.5182634177943,50.29,77.92
Africa,Sugar Cane,Fall,61.12,2020.8739283885845,70.59,73.59
Australia,Wheat,Fall,48.79,2021.0472468565501,10.53,56.73
India,Wheat,Winter,44.99,2021.5840785641817,13.08,50.37
United States,Maze,Winter,66.34,2021.7814292968262,40.41,82.82
Africa,Apples,Spring,45.15,2020.414617130321,24.23,21.05
France,Maze,Fall,78.35,2020.7076487847967,10.32,19.11
France,Sugar Cane,Rainy Season,53.49,2020.9010825789635,27.17,27.48
United States,Cotton,Summer,88.54,2021.884299122181,78.01,21.6
United States,Maze,Fall,22.49,2021.9764348657363,24.7,76.81
France,Apples,Summer,79.2,2020.6043453495085,62.51,49.76
Germany,Apples,Spring,25.09,2021.328274836217,80.2,33.64
France,Wheat,Summer,32.64,2021.5307453374514,27.52,25.16
Africa,Sugar Cane,Fall,38.15,2021.9977692443526,76.86,48.26
Germany,Apples,Spring,69.68,2020.161386169955,77.75,55.26
Germany,Maze,Spring,40.58,2021.2646016023982,84.32,80.28
Africa,Wheat,Winter,24.95,2020.6210797056897,31.51,34.75
Australia,Maze,Fall,32.68,2021.7177729620178,25.2,36.75
Africa,Sugar Cane,Fall,29.3,2021.8547364553247,24.47,77.31
Africa,Sugar Cane,Spring,46.97,2021.650081072536,26.22,53.33
China,Apples,Spring,64.46,2020.0368152939704,40.8,37.0
Africa,Cotton,Winter,77.73,2020.1692218083183,45.78,76.23
India,Plam Oil,Rainy Season,44.36,2021.806130145646,68.29,71.69
France,Cotton,Spring,74.79,2020.0955365231894,43.69,73.36
France,Plam Oil,Spring,43.05,2021.0250357282737,48.55,17.93
Africa,Wheat,Summer,52.54,2021.6443013955204,52.57,68.49
China,Maze,Winter,37.37,2021.0900206505673,91.31,87.17
China,Sugar Cane,Summer,58.77,2020.191167472893,11.25,68.32
Africa,Sugar Cane,Fall,39.83,2020.4466898339667,72.37,28.94
China,Plam Oil,Fall,79.99,2020.5808311899784,55.75,67.46
Germany,Sugar Cane,Fall,14.94,2020.644529384735,21.0,39.93
Germany,Maze,Winter,18.0,2021.0636400719616,92.47,57.03
China,Wheat,Rainy Season,57.98,2020.4609894193795,36.32,66.63
India,Maze,Summer,92.68,2021.7443138832696,68.34,30.61
United States,Apples,Spring,77.66,2020.6159307752014,21.8,86.51
France,Wheat,Winter,50.63,2020.1948934036109,58.28,90.25
China,Maze,Rainy Season,89.08,2020.6694207112223,37.25,16.76
Africa,Paddy,Fall,39.09,2021.808717528277,28.36,45.71
Germany,Paddy,Fall,28.96,2021.4115370750642,91.72,67.85
India,Sugar Cane,Rainy Season,60.59,2020.2874966948054,64.62,49.05
Africa,Paddy,Summer,57.16,2020.1302655070315,83.66,84.23
Australia,Cotton,Spring,18.84,2021.92020719927,41.18,41.74
China,Sugar Cane,Summer,47.29,2020.794166247201,68.84,51.26
China,Wheat,Rainy Season,60.76,2021.452848342307,13.71,39.34
Germany,Cotton,Fall,65.66,2021.9191811371184,85.32,12.46
Africa,Sugar Cane,Summer,41.91,2021.9786744406285,36.87,33.31
Germany,Apples,Fall,47.79,2020.0961163991678,91.63,66.19
Africa,Apples,Summer,92.56,2020.1082001095858,21.67,17.76
India,Cotton,Rainy Season,90.63,2020.6276602251971,62.14,37.91
Germany,Apples,Winter,46.68,2020.8879089583545,64.25,56.59
Germany,Paddy,Winter,71.92,2020.4598820079484,58.0,38.6
France,Cotton,Summer,84.12,2021.1250760957907,78.42,40.74
India,Wheat,Winter,70.12,2020.7307890827988,67.11,86.53
Australia,Plam Oil,Summer,46.72,2021.4843782750818,19.53,27.07
India,Paddy,Rainy Season,16.0,2021.9614115556687,63.54,80.98
China,Wheat,Spring,14.58,2021.6723471126643,38.6,77.1
China,Apples,Winter,29.17,2020.1748096999736,26.85,53.62
India,Paddy,Summer,70.31,2021.7067917378877,20.84,65.55
Australia,Paddy,Winter,34.79,2021.9287586468038,92.84,82.04
India,Apples,Rainy Season,87.61,2021.1032037457599,31.47,74.73
Australia,Plam Oil,Fall,76.68,2021.549236491657,23.01,35.4
United States,Sugar Cane,Fall,65.27,2020.6495302709513,12.63,51.46
Australia,Wheat,Rainy Season,30.1,2020.5479894629032,35.3,57.15
France,Cotton,Summer,18.9,2020.1707093717114,24.49,78.71
China,Sugar Cane,Summer,76.34,2020.7618232548762,69.39,58.86
France,Wheat,Rainy Season,38.64,2020.6341920995676,85.36,78.81
France,Sugar Cane,Fall,26.35,2021.38544234556,56.42,24.45
Germany,Wheat,Fall,38.28,2020.3021538667615,85.85,90.11
Africa,Paddy,Spring,70.79,2020.0967396989056,17.04,85.28
China,Plam Oil,Spring,70.62,2020.0642861677234,17.06,70.83
India,Maze,Winter,22.48,2021.4558884228152,31.63,53.59
India,Cotton,Winter,15.24,2020.1601100409591,90.12,84.02
United States,Maze,Winter,90.42,2021.0359536293167,35.75,27.82
France,Maze,Rainy Season,17.36,2020.4940709307168,73.36,17.24
Africa,Apples,Winter,32.75,2020.1011523546354,60.44,62.32
Germany,Sugar Cane,Fall,26.89,2021.2687752722147,67.7,17.14
France,Sugar Cane,Spring,54.24,2020.4173105533673,81.44,63.59
France,Maze,Fall,84.32,2021.2390658026477,86.24,26.2
China,Apples,Fall,50.08,2021.5647754564416,63.45,42.0
Australia,Paddy,Spring,60.34,2020.3567792660833,62.72,19.24
India,Paddy,Spring,93.0,2020.5304073284158,34.01,67.75
Africa,Wheat,Rainy Season,24.84,2020.904508447717,57.6,43.07
Germany,Cotton,Winter,13.9,2021.5375939254172,25.84,48.53
Australia,Maze,Summer,32.35,2020.0279190981614,81.39,36.69
Germany,Maze,Rainy Season,78.92,2021.8023366758289,74.21,14.06
Germany,Cotton,Winter,59.28,2021.6942676433637,77.97,32.38
China,Plam Oil,Fall,35.42,2021.7862459662,84.93,31.01
Germany,Apples,Rainy Season,63.31,2021.5919260043265,13.7,79.63
Africa,Maze,Winter,45.62,2021.9372929515007,17.4,44.96
Germany,Sugar Cane,Rainy Season,12.22,2021.8195435131304,28.84,17.34
Australia,Cotton,Fall,33.72,2021.8652420683409,72.5,45.16
Africa,Cotton,Winter,17.53,2020.6316441642084,47.1,39.2
United States,Wheat,Rainy Season,51.47,2021.5301570364109,83.16,73.58
Germany,Apples,Fall,53.79,2021.6737415475457,76.85,53.0
Australia,Paddy,Summer,32.58,2021.61282469266,54.83,21.2
United States,Paddy,Fall,55.98,2021.4776815462171,36.19,76.61
Germany,Sugar Cane,Winter,70.88,2021.1035850001992,45.86,20.41
Africa,Cotton,Fall,57.62,2021.7560981829545,83.65,22.52
Germany,Cotton,Winter,16.49,2021.5684219128448,71.69,89.25
Australia,Cotton,Rainy Season,84.08,2020.7464912367689,38.69,39.82
United States,Sugar Cane,Winter,11.04,2021.2019282574224,11.73,59.32
Germany,Paddy,Fall,50.23,2020.430150487733,42.68,66.74
France,Maze,Summer,40.67,2021.9766847329897,21.99,11.95
United States,Apples,Rainy Season,15.5,2021.8456929618928,61.41,77.7
Germany,Wheat,Fall,49.09,2021.0555781783698,64.31,46.32
India,Maze,Summer,87.62,2021.6049572774336,41.75,64.47
Africa,Wheat,Summer,23.85,2020.5343589452511,76.84,30.74
Africa,Wheat,Winter,66.85,2021.8158121219212,50.78,21.34
France,Sugar Cane,Spring,91.53,2021.0341035984002,74.16,39.27
France,Apples,Fall,35.39,2021.42973533845,21.61,11.93
United States,Sugar Cane,Spring,18.45,2020.4072636097635,75.81,40.11
Germany,Wheat,Summer,77.51,2021.3115568844373,80.37,23.21
Australia,Apples,Spring,16.41,2020.0472919390982,38.27,77.14
Germany,Apples,Spring,86.25,2020.5686502003914,38.6,69.17
Australia,Maze,Spring,56.48,2021.600476658722,86.39,66.21
United States,Maze,Rainy Season,55.06,2021.895810093559,52.36,84.12
United States,Plam Oil,Fall,27.35,2021.9378939052174,89.97,48.41
Australia,Paddy,Rainy Season,73.08,2021.0030439118384,45.94,68.86
Germany,Cotton,Summer,39.83,2021.4589956963232,80.53,65.66
Australia,Apples,Rainy Season,43.84,2020.9498179012842,60.72,65.23
United States,Apples,Summer,14.06,2021.886071622776,63.05,43.72
Germany,Plam Oil,Spring,55.58,2021.6080552005376,20.42,18.23
Africa,Apples,Summer,37.53,2021.905777865691,87.66,63.76
Africa,Maze,Fall,15.26,2021.5557390158456,78.88,92.97
Australia,Wheat,Spring,37.42,2020.642180900848,67.84,50.3
Germany,Apples,Rainy Season,22.49,2021.0053651047792,69.95,40.91
China,Paddy,Spring,52.35,2020.8755056003129,46.83,23.14
France,Cotton,Spring,49.77,2021.8048582031056,41.18,48.27
United States,Cotton,Summer,29.81,2020.9982970703654,63.77,64.28
Germany,Wheat,Summer,14.86,2020.8168078981007,65.34,74.28
Africa,Maze,Fall,32.64,2020.4098027397229,78.11,70.71
Germany,Sugar Cane,Summer,66.0,2021.6354185397959,56.5,87.35
France,Plam Oil,Fall,66.14,2021.1830452619843,59.25,68.06
Australia,Plam Oil,Spring,48.61,2020.8437495404053,38.48,45.81
France,Wheat,Spring,86.64,2021.3561261828063,74.5,25.29
France,Apples,Summer,26.11,2020.7868256270808,84.8,69.49
United States,Apples,Fall,85.8,2021.3712423342774,16.13,48.87
France,Sugar Cane,Rainy Season,15.67,2020.216438165003,67.39,33.9
Africa,Sugar Cane,Winter,28.25,2021.9384408205935,67.46,89.51
Germany,Cotton,Fall,62.54,2020.2081066224227,32.27,84.63
Australia,Maze,Rainy Season,73.4,2021.2604612409245,43.81,37.79
China,Apples,Rainy Season,88.3,2020.0814494795711,23.05,21.01
Australia,Cotton,Spring,40.38,2020.2127490466587,35.12,59.07
Germany,Maze,Winter,23.67,2020.146439118489,65.97,26.61
France,Plam Oil,Spring,17.08,2020.3023312399275,29.03,38.25
Africa,Wheat,Rainy Season,78.02,2021.2216227672563,54.67,43.08
Australia,Paddy,Summer,28.39,2020.080673030644,68.75,26.05
India,Sugar Cane,Summer,74.34,2021.423892003419,23.89,27.85
Australia,Wheat,Rainy Season,37.76,2020.6527672377044,82.71,31.99
India,Cotton,Rainy Season,18.62,2021.233106512557,87.88,60.31
Germany,Wheat,Spring,15.11,2021.2975782472722,14.78,55.91
China,Sugar Cane,Winter,19.9,2021.19109678281,37.08,84.28
Africa,Sugar Cane,Spring,85.07,2021.1223219606995,58.18,49.18
China,Paddy,Fall,59.66,2020.2760157884443,54.87,77.71
Australia,Wheat,Rainy Season,35.49,2021.3403830050827,16.93,22.38
United States,Wheat,Spring,83.7,2020.0024049363885,56.95,44.99
France,Plam Oil,Rainy Season,18.01,2020.7649076401863,40.4,37.51
Germany,Maze,Rainy Season,58.95,2020.6667234856084,91.34,75.2
India,Plam Oil,Rainy Season,63.88,2020.831662105759,89.63,87.41
United States,Sugar Cane,Rainy Season,57.46,2020.613947658766,14.0,77.04
United States,Maze,Winter,72.08,2020.6162461914007,68.54,82.6
India,Maze,Fall,39.67,2020.5681099085582,59.57,29.38
United States,Apples,Fall,49.42,2021.0127240148095,58.09,88.86
Africa,Maze,Rainy Season,49.68,2020.2446916871957,84.34,62.33
Africa,Maze,Rainy Season,89.89,2020.6583875349852,76.01,63.5
Africa,Wheat,Winter,78.07,2020.044968594139,57.47,11.86
France,Paddy,Spring,73.68,2020.9941021233826,23.79,80.34
Africa,Maze,Fall,68.34,2020.1121904067004,59.44,21.12
Africa,Maze,Rainy Season,16.43,2020.8594463426568,82.23,31.74
France,Wheat,Fall,12.4,2021.9978596823526,78.24,81.83
Australia,Sugar Cane,Winter,16.48,2021.2342382622844,68.23,37.9
Germany,Apples,Winter,22.38,2020.3102064665259,54.11,26.67
Germany,Cotton,Fall,63.46,2020.5618581290819,90.84,82.47
Africa,Cotton,Rainy Season,84.3,2021.405992841625,10.83,18.28
Australia,Maze,Rainy Season,79.15,2020.783732235501,27.58,18.67
Germany,Maze,Rainy Season,47.9,2021.1498159977775,38.04,66.93
China,Sugar Cane,Rainy Season,14.85,2021.2457832658463,40.66,73.71
Germany,Plam Oil,Winter,57.22,2020.9957880429668,91.37,46.17
Germany,Wheat,Spring,77.69,2020.952018248453,18.05,26.11
United States,Apples,Winter,11.26,2021.9467935618218,29.79,47.7
China,Cotton,Summer,78.94,2021.2408772851927,81.86,25.93
China,Maze,Spring,48.96,2020.0770419078804,29.53,81.9
China,Maze,Winter,75.92,2020.062841304744,37.92,50.3
China,Maze,Spring,35.32,2021.4504736685328,65.01,11.59
Germany,Maze,Spring,66.04,2021.0118174909744,29.38,92.1
Australia,Cotton,Winter,82.9,2021.2234096921222,70.44,23.69
Australia,Plam Oil,Summer,58.58,2020.0851893367053,57.25,17.38
Germany,Apples,Summer,43.35,2020.9136990486431,24.82,82.66
France,Plam Oil,Winter,76.96,2020.1435907531052,85.36,76.88
China,Wheat,Rainy Season,39.63,2021.0192554917633,72.93,86.31
United States,Cotton,Winter,91.15,2020.6341031882796,57.36,46.25
China,Cotton,Fall,71.8,2020.5963450194865,14.88,12.09
France,Wheat,Winter,43.1,2021.1322314244935,80.67,73.42
Africa,Apples,Winter,53.93,2021.2492752654578,87.93,20.59
China,Cotton,Winter,31.9,2020.0453550924713,68.37,24.1
Africa,Apples,Spring,48.68,2021.7724663057668,70.26,65.24
Australia,Sugar Cane,Winter,70.31,2021.3687482214082,58.77,71.3
Australia,Wheat,Winter,73.64,2020.2880161487103,68.05,45.03
India,Cotton,Winter,17.2,2021.571062231401,37.45,81.1
India,Apples,Summer,90.77,2021.7854054933628,55.94,50.44
Germany,Cotton,Spring,19.56,2020.6475980039463,23.62,63.7
United States,Cotton,Spring,10.49,2021.741665533565,10.38,85.87
Africa,Paddy,Fall,25.03,2021.794829997774,73.99,81.43
Germany,Cotton,Summer,35.31,2020.1995095541097,58.81,15.38
India,Plam Oil,Spring,50.16,2021.4730694387918,45.15,44.3
Africa,Paddy,Fall,50.8,2020.1329980942317,72.34,62.31
China,Paddy,Rainy Season,18.07,2020.9817555660777,76.56,12.26
Germany,Paddy,Fall,20.84,2021.982917700685,80.06,68.08
United States,Maze,Spring,49.31,2020.5075711917814,72.79,58.39
Australia,Cotton,Summer,22.76,2021.3159240355733,82.41,54.47
Australia,Sugar Cane,Winter,51.12,2021.9283588424773,76.06,11.57
France,Maze,Summer,91.17,2021.3592427590777,82.1,83.96
China,Wheat,Summer,77.99,2021.4984207121543,10.96,26.03
Africa,Maze,Summer,16.61,2020.7770713483392,77.93,23.81
India,Apples,Fall,61.7,2021.7786624304424,13.58,56.8
China,Maze,Summer,13.35,2021.023112472267,59.45,88.6
France,Maze,Fall,93.16,2020.907311362815,77.77,69.65
China,Wheat,Summer,31.3,2021.1505759014156,16.39,28.55
India,Wheat,Winter,11.92,2020.8573995183547,42.0,92.65
France,Apples,Spring,67.24,2021.4539515458703,52.58,68.9
Australia,Sugar Cane,Summer,28.19,2020.866825403557,92.09,86.43
Africa,Wheat,Rainy Season,84.61,2020.840764696166,75.63,69.7
Australia,Paddy,Winter,53.73,2021.4476991962456,17.92,51.17
China,Sugar Cane,Spring,49.57,2021.4179250492384,30.0,34.66
India,Sugar Cane,Rainy Season,56.06,2021.69203690126,81.57,67.29
Germany,Sugar Cane,Fall,15.29,2020.3078853248712,52.81,42.18
United States,Plam Oil,Summer,37.43,2021.8568333518172,90.55,55.16
Africa,Wheat,Summer,18.58,2020.152693034749,78.59,59.77
Africa,Plam Oil,Spring,86.05,2020.0903217037812,62.3,40.51
